PID,ISB,Strecke_Nummer,Strecke_Bezeichnung,Strecke_Art,BP_Von_Abschnitt,BP_Von_Abschnitt_Bezeichnung,BP_Bis_Abschnitt,BP_Bis_Abschnitt_Bezeichnung,Anzahl_Zuege,gdname,gd_ident,didok,KOORDZ,KOORDY,KOORDX,Reiner Betriebspunkt,TU Nummer,Bedienpunkt Cargo,land,Haltestelle,Gde Nummer,gdnr,TU Abkuerzung,Tarifhaltestelle,geopos_von,geopos_bis
SBB_KIM_EFG,SBB,29,Pratteln - Stein-Säckingen - Brugg Süd / Brugg,STRECKE,KIM,Kirchmatt (Spw),EFG,Effingen,30672,Hornussen,Ident,15170,429.6,647606.36,259691.8,*,11,None,Switzerland,None,4167,4167,SBB CFF FFS,None,"8.07029015922, 47.4862676118","8.10066012461, 47.4765478962"
SBB_STS_EI,SBB,29,Pratteln - Stein-Säckingen - Brugg Süd / Brugg,STRECKE,STS,Stein-Säckingen,EI,Eiken,45147,Stein (AG),Ident,320,310.7,638411.88,265775.86,None,11,*,Switzerland,*,4260,4260,SBB CFF FFS,None,"7.94882103178, 47.5415864893","7.98977080167, 47.5330267161"
SBB_LEI_FU,SBB,30,Stein-Säckingen - Laufenburg - Koblenz,STRECKE,LEI,Leibstadt,FU,Full,77,Leibstadt,Ident,326,312.9,654674.47,271646.08,None,11,*,Switzerland,None,4311,4311,SBB CFF FFS,None,"8.16553729554, 47.5932276343","8.19695632415, 47.609397785"
SBB_BD_WE,SBB,32,Brugg - Wettingen - Killwangen,STRECKE,BD,Baden,WE,Wettingen,118416,Baden,Ident,3504,385.1,665508.9,258767.9,None,11,*,Switzerland,*,4021,4021,SBB CFF FFS,None,"8.30767815678, 47.4764194352","8.31597814208, 47.4596294811"
SBB_AAO_ROHS,SBB,35,Olten Ost - Heitersberg - Killwangen,STRECKE,AAO,Aarau Ost (Abzw),ROHS,Rohr (Spw),213778,Buchs (AG),Ident,2140,381.3,647839.55,249573.41,*,11,None,Switzerland,None,4003,4003,SBB CFF FFS,None,"8.07230066487, 47.3952481494","8.08481049155, 47.3968682659"
SBB_DK_SCOE,SBB,35,Olten Ost - Heitersberg - Killwangen,STRECKE,DK,Däniken,SCOE,Schönenwerd SO,150835,Däniken,Ident,2111,381.5,640806.91,245199.07,None,11,*,Switzerland,*,2572,2572,SBB CFF FFS,None,"7.97875208747, 47.356378032","8.00015166801, 47.3714179551"
SBB_DKW_DK,SBB,35,Olten Ost - Heitersberg - Killwangen,STRECKE,DKW,Däniken West (Abzw),DK,Däniken,149736,Däniken,Ident,2142,384.3,639999.6,244699.91,*,11,None,Switzerland,None,2572,2572,SBB CFF FFS,None,"7.96802220772, 47.3519379716","7.97875208747, 47.356378032"
SBB_OLO_DU,SBB,35,Olten Ost - Heitersberg - Killwangen,STRECKE,OLO,Olten Ost (Abzw),DU,Dulliken,149845,Olten,Ident,244,397.3,636791.47,245422.95,*,11,None,Switzerland,None,2581,2581,SBB CFF FFS,None,"7.92562292884, 47.3586277639","7.94648249949, 47.3542578863"
SBB_RU_LB,SBB,35,Olten Ost - Heitersberg - Killwangen,STRECKE,RU,Rupperswil,LB,Lenzburg,162977,Rupperswil,Ident,2114,373.6,651956.64,250500.91,None,11,*,Switzerland,*,4206,4206,SBB CFF FFS,None,"8.12694005204, 47.4032782294","8.17036968258, 47.3911887102"
SBB_RU_WI,SBB,36,Rupperswil - Brugg,STRECKE,RU,Rupperswil,WI,Wildegg,50815,Rupperswil,Ident,2114,373.6,651956.64,250500.91,None,11,*,Switzerland,*,4206,4206,SBB CFF FFS,None,"8.12694005204, 47.4032782294","8.16298971465, 47.4152683873"
SBB_ABOW_ABOS,SBB,38,Aarburg-Oftringen/Aarburg-Oftringen West - Zofingen - Luzern,STRECKE,ABOW,Aarburg-Oftringen West (Abzw),ABOS,Aarburg-Oftringen Süd (Abzw),13453,Aarburg,Ident,8141,408.8,635404.04,240412.41,*,11,None,Switzerland,None,4271,4271,SBB CFF FFS,None,"7.90686311226, 47.313637852","7.9168930565, 47.3135479201"
SBB_CEL_MUR,SBB,1,Genève Aéroport - Lausanne,STRECKE,CEL,Céligny,MUR,Murat (diag),98357,Céligny,Ident,1024,391.2,504658.66,133708.52,*,11,None,Switzerland,None,6610,6610,SBB CFF FFS,None,"6.20008880401, 46.3479737372","6.20635866785, 46.3535838483"
SBB_DEN_DENA,SBB,1,Genève Aéroport - Lausanne,STRECKE,DEN,Denges-Echandens,DENA,Denges A (bif),121437,Denges,Ident,1045,399,531092.83,153487.49,None,11,None,Switzerland,*,5632,5632,SBB CFF FFS,None,"6.54050626646, 46.5291247763","6.54179613744, 46.5307447557"
